VIN,Marca,Modelo,Tipo_moto,A�o_fabricacion,Kilometros (km),Precio_por_dia (�),Estado,Image_URL
VIN000014193,Honda,CBR600RR,Deportiva,2024,2000,99.8,Disponible,https://www.honda.es/content/dam/central/motorcycles/colour-picker/supersports/cbr600rr/cbr600rr_2024/nh-a86m_matte_ballistic_black_metallic/cbr600rr_2024_nh-a86m_matte_ballistic_black_metallic.png/_jcr_content/renditions/c2_r.png
VIN000026551,Yamaha,YZF-R1,Deportiva,2024,0,100,Disponible,https://images5.1000ps.net/images_bikekat/2021/4-Yamaha/329-YZF_R1/001-637412948549830955-yamaha-yzf-r1.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=1168&height=664&bgcolor=rgba_39_42_44_0&mode=pad
VIN000038006,Kawasaki,Ninja ZX-6R,Deportiva,2023,5000,94.525,Disponible,https://storage.kawasaki.eu/public/kawasaki.eu/en-EU/model/23MY_Ninja_650_Sport_GY1_Front.png
VIN000042332,Suzuki,GSX-R1000,Deportiva,2024,0,100,Disponible,https://images5.1000ps.net/images_bikekat/2020/3-Suzuki/16-GSX_R_1000/1-637074370220999542.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=1168&height=664&bgcolor=rgba_39_42_44_0&mode=pad
VIN000056861,Ducati,Panigale V4,Deportiva,2024,0,100,Disponible,https://i0.wp.com/ducatimadrid.com/wp-content/uploads/2024/03/pani-v4-r.webp?fit=1000%2C590&ssl=1
VIN000069513,Harley-Davidson,Street Glide,Cruiser,2024,0,100,Disponible,https://cdn.room58.com/2024/06/21/d6bcc32368efb7bfb73a29eeddeb60bc_1fcdd175f3c2573e.webp
VIN000071739,BMW,R1250GS,Trail,2023,5000,94.525,Disponible,https://gearcentral.com.mx/wp-content/uploads/wepik-export-2024010914330026nw-1.png
VIN000082100,KTM,1290 Super Adventure,Trail,2024,0,100,Disponible,https://masktm.es/wp-content/uploads/2023/11/PHO_BIKE_90_RE_MY24-890-ADV-R-RALLY-90-Degree-right_SALL_AEPI_V1.png
VIN000096441,Triumph,Tiger 900,Trail,2023,5000,94.525,Disponible,https://media.triumphmotorcycles.co.uk/image/upload/f_auto/q_auto/sitecoremedialibrary/media-library/images/motorcycles/adventure-touring/2020%20tiger%20900/cgi/my23%20colours/sandstorm/rally%20pro/tiger-900-rally-pro_my23_sandstorm_rhs-v2_629px.png
VIN000109360,Indian,Sport Chief,Cruiser,2023,5000,94.525,Disponible,https://cdn1.polaris.com/globalassets/indian/2023/model/vehicle-cards/n23dsdbhav-ind-my23-8y6v-sport-chief-stealth-gray.png?v=b0b88b7c
VIN000115171,Aprilia,RS 660 Extrema,Deportiva,2023,5000,94.525,Disponible,https://images.piaggio.com/aprilia/vehicles/ap6115400ebp00/ap6115400ebp01/ap6115400ebp01-01-s.png
VIN000126668,Moto Guzzi,California Touring 1400,Cruiser,2022,10000,89.1,Disponible,https://cdn.motochecker.at/motorrad/moto-guzzi-california-1400-touring-0.png
VIN000133480,Beneli,TNT 150 I Pro,Naked,2024,0,100,Disponible,https://images.ctfassets.net/8zlbnewncp6f/7MxooQj5Rr997shRfi8mXo/0f49116ac12f1e6a43096292a91d437d/BENELLI_TNT_150_I-PORTADA-Galgo_Colombia.png?w=600&fm=webp&q=90
VIN000146729,Husqvarna,Svartpilen 801,Naked,2024,0,100,Disponible,https://www.motosukracing.com/wp-content/uploads/2024/05/Svartpilen-801-MY25-01.png
VIN000157494,Royal Enfield,Continental GT Thunder Edition,Retro,2023,5000,94.525,Disponible,https://www.royalenfield.com/content/dam/royal-enfield/thunder-campaign/colors/rocker-red/side-view.png
VIN000165569,MV Agusta,F3 675,Deportiva,2023,5000,94.525,Disponible,https://www.mvagusta.com/media/5a57ab6f-49cd-420e-97e0-4d7aa3305253/conversions/main-m.png
VIN000177276,Buell,1190RX,Deportiva,2024,0,100,Disponible,https://i0.wp.com/canadamotoguide.com/wp-content/uploads/2021/02/Buell-1190-RX.png?fit=1200%2C912&ssl=1&resize=350%2C200
VIN000188886,Victory,Vegas 8-Ball,Cruiser,2016,40000,57.6,Disponible,https://images5.1000ps.net/images_bikekat/2016/168-Victory/4222-Vegas_8Ball/gr.jpg?format=webp&quality=80&scale=both&width=1984&height=1116&bgcolor=rgba_39_42_44_0&mode=pad
VIN000199764,Guzzi,V85 TT,Trail,2024,0,100,Disponible,https://ignitionmotorsports.ca/cdn/shop/files/Moto-Guzzi_V85-TT_Rosso-Fuji_Lat-dx.png?v=1713307244&width=1214
VIN000202671,Norton,Copmmando 961 SF,Retro,2015,45000,52.525,Disponible,https://moto-images.com/20.jpg
VIN000211309,Warna BSA,Gold Star 650 Terbaru,Retro,2023,5000,94.525,Disponible,https://images.autofun.co.id/file1/a64220fa2fa742d586aed57c2c817141_678x380.png
VIN000228520,Zontes,ZT155-U,Naked,2024,0,100,Disponible,https://web2.fireboldweb.com/wp-content/uploads/2022/09/270920221664294667moto_victory_venon18_azul_2022_foto01.png
VIN000232178,Sym,Orbit III 50,Scooter,2024,0,100,Disponible,https://cdn.riderly.com/storage/media/img/bikes/Sym__Orbit_III_50.png
VIN000241263,Piaggio,Vespa GTS SUPER 300 SPORT,Scooter,2024,0,100,Disponible,https://arriolamotor.com/wp-content/uploads/2022/02/nvgsd3au14-01-m.webp
VIN000252669,Rieju,MR Six Days Argentina 300,Motocross,2024,0,100,Disponible,https://rieju.com.au/wp-content/uploads/2023/11/Rieju-SixDaysArgentina-Side.png
VIN000264135,Sherco,Beta RR 350 4T Racing,Motocross,2023,5000,94.525,Disponible,https://images5.1000ps.net/images_bikekat/2023/57-Beta/8646-RR_350_4T_Racing/002-638009931648540992-beta-rr-350-4t-racing.jpg?format=webp&quality=80&trim.threshold=80&trim.percentpadding=1&scale=both&width=1168&height=664&bgcolor=rgba_39_42_44_0&mode=pad
